I enjoy meeting new people.,I prefer planning over spontaneity.,I often worry about things.,I like trying new things.,I follow through on tasks.,I sympathize with others' feelings.,I enjoy abstract ideas.,I avoid risky activities.,I prefer organized environments.,I adapt quickly to change.,I find it easy to start conversations.,I like to keep my emotions private.,I get irritated easily.,I like to explore possibilities.,I keep a tidy workspace.,I try to see things from others' perspectives.,I enjoy creative activities.,I tend to procrastinate.,I learn new skills quickly.,I prefer to stick to familiar routines.,personality
Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Disagree,Introvert
Agree,Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Feeler
Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Introvert
Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Disagree,Somewhat Agree,Introvert
Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Introvert
Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Extrovert
Agree,Disagree,Disagree,Agree,Agree,Somewhat Disagree,Disagree,Disagree,Agree,Disagree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Extrovert
Agree,Agree,Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Feeler
Agree,Agree,Agree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Thinker
Somewhat Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Introvert
Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Introvert
Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Introvert
Disagree,Agree,Disagree,Somewhat Agree,Agree,Agree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Disagree,Agree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Introvert
Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Somewhat Agree,Feeler
Somewhat Agree,Agree,Disagree,Somewhat Agree,Disagree,Disagree,Agree,Disagree,Somewhat Agree,Agree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Extrovert
Somewhat Agree,Disagree,Disagree,Disagree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Disagree,Feeler
Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Feeler
Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Thinker
Disagree,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Introvert
Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Extrovert
Somewhat Agree,Disagree,Disagree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Disagree,Disagree,Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Thinker
Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Feeler
Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Introvert
Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Extrovert
Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Introvert
Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Thinker
Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Introvert
Somewhat Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Agree,Agree,Disagree,Somewhat Agree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Feeler
Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Agree,Agree,Agree,Disagree,Somewhat Agree,Agree,Thinker
Disagree,Somewhat Disagree,Agree,Disagree,Somewhat Disagree,Agree,Disagree,Agree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Feeler
Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Extrovert
Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Somewhat Agree,Disagree,Agree,Feeler
Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Agree,Agree,Thinker
Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Introvert
Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Agree,Feeler
Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Disagree,Agree,Extrovert
Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Thinker
Disagree,Somewhat Disagree,Agree,Agree,Agree,Agree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Thinker
Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Extrovert
Somewhat Agree,Somewhat Agree,Agree,Agree,Disagree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Agree,Extrovert
Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Disagree,Somewhat Disagree,Agree,Introvert
Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Introvert
Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Thinker
Somewhat Agree,Agree,Somewhat Disagree,Disagree,Agree,Agree,Somewhat Agree,Agree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Disagree,Feeler
Disagree,Agree,Disagree,Disagree,Somewhat Agree,Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Thinker
Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Disagree,Agree,Somewhat Disagree,Disagree,Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Introvert
Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Disagree,Feeler
Disagree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Thinker
Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Agree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Disagree,Introvert
Somewhat Agree,Disagree,Disagree,Agree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Agree,Disagree,Agree,Somewhat Disagree,Agree,Disagree,Agree,Introvert
Disagree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Thinker
Somewhat Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Disagree,Agree,Introvert
Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Introvert
Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Introvert
Somewhat Disagree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Agree,Agree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Thinker
Somewhat Disagree,Disagree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Disagree,Agree,Somewhat Agree,Disagree,Extrovert
Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Thinker
Disagree,Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Disagree,Somewhat Disagree,Disagree,Introvert
Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Feeler
Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Feeler
Somewhat Disagree,Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Disagree,Disagree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Disagree,Feeler
Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Somewhat Disagree,Extrovert
Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Disagree,Feeler
Disagree,Somewhat Disagree,Agree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Feeler
Disagree,Disagree,Agree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Introvert
Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Extrovert
Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Agree,Agree,Agree,Somewhat Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Thinker
Disagree,Disagree,Disagree,Disagree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Introvert
Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Extrovert
Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Disagree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Feeler
Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Agree,Somewhat Agree,Agree,Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Feeler
Agree,Agree,Agree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Disagree,Somewhat Disagree,Extrovert
Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Disagree,Agree,Disagree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat Disagree,Disagree,Introvert
